contributor,label,origin,NA,NT,NR,NOR,ORR,NAR_mean,NAR_median,NAR_std,NAR_gini,NAR_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR,NCAR_mean,NCAR_median,NCAR_std,NCAR_gini,NCAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NTR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_gini,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCA_mean,DCA_median,DCA_std,DCA_gini,DCA_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR
project_278964_bot_721481034e48437e1f8ec9b259db3134,Bot,bot-heuristic,157,2,1.0,1,1.0,157.0,157.0,0.0,0.0,0.0,78.5,78.5,109.602,0.494,77.5,157.0,157.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,341.122,341.122,0.0,0.0,0.0,,,0.0,0.0,,2.187,1.01,5.72,0.672,1.495,0.876,0.876,0.0,0.0,0.0
project_278964_bot_87c17d71a842955abfceaf361a49f249,Bot,bot-heuristic,287,2,1.0,1,1.0,287.0,287.0,0.0,0.0,0.0,143.5,143.5,26.163,0.064,18.5,287.0,287.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,84.26,84.26,0.0,0.0,0.0,,,0.0,0.0,,0.295,0.001,1.098,0.928,0.002,0.628,0.004,1.528,0.844,0.247
project_278964_bot_079be3103ed333565a8fbea3be7252f4,Bot,bot-heuristic,300,2,1.0,1,1.0,300.0,300.0,0.0,0.0,0.0,150.0,150.0,200.818,0.473,142.0,300.0,300.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,116.85,116.85,0.0,0.0,0.0,,,0.0,0.0,,0.391,0.146,1.466,0.713,0.278,0.054,0.037,0.055,0.488,0.04
project_278964_bot_b66b169fda2a3223a645094be35d5515,Bot,bot-heuristic,297,2,1.0,1,1.0,297.0,297.0,0.0,0.0,0.0,148.5,148.5,170.413,0.406,120.5,297.0,297.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,87.361,87.361,0.0,0.0,0.0,,,0.0,0.0,,0.295,0.086,0.87,0.74,0.222,0.41,0.061,1.706,0.883,0.128
project_3472737_bot_1fbc613f42d33124c34fb98cc87650ea,Bot,bot-heuristic,26,1,1.0,1,1.0,26.0,26.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1796.957,1796.957,0.0,0.0,0.0,,,0.0,0.0,,71.878,14.492,167.984,0.754,60.14,,,0.0,0.0,
gitlab-crowdin-bot,Bot,bot-heuristic,292,1,1.0,1,1.0,292.0,292.0,0.0,0.0,0.0,292.0,292.0,0.0,0.0,0.0,292.0,292.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,13.183,13.183,0.0,0.0,0.0,,,0.0,0.0,,0.045,0.002,0.28,0.945,0.001,,,0.0,0.0,
project_250833_bot_836d914bb2e54d8af31290f600147a0c,Bot,bot-heuristic,170,1,1.0,1,1.0,170.0,170.0,0.0,0.0,0.0,170.0,170.0,0.0,0.0,0.0,170.0,170.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2165.133,2165.133,0.0,0.0,0.0,,,0.0,0.0,,12.811,5.74,18.429,0.63,11.986,,,0.0,0.0,
veloren-bot,Bot,bot-heuristic,241,3,4.0,1,0.25,60.25,8.5,108.558,0.692,56.25,80.333,105.0,45.347,0.221,40.0,10.478,3.0,13.941,0.615,10.5,2.0,2.0,0.816,0.188,0.5,85.536,1.815,113.698,0.4,136.714,8.803,7.723,7.728,0.481,12.147,9.004,6.855,8.242,0.494,13.233,7.216,5.397,7.189,0.524,12.533
veloren_collaboration_bot,Bot,bot-heuristic,149,3,3.0,1,0.333,49.667,6.0,76.501,0.595,66.5,49.667,4.0,80.835,0.631,70.5,8.765,3.0,14.303,0.648,10.0,2.333,3.0,1.155,0.19,1.0,109.768,2.776,198.858,0.637,96.686,18.968,9.181,23.652,0.598,18.692,14.659,8.598,19.588,0.598,11.994,6.245,1.452,14.162,0.785,2.136
project_10858056_bot_f969f72a7e15086827dc9d30b978faa2,Bot,bot-heuristic,56,1,1.0,1,1.0,56.0,56.0,0.0,0.0,0.0,56.0,56.0,0.0,0.0,0.0,56.0,56.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2098.991,2098.991,0.0,0.0,0.0,,,0.0,0.0,,38.163,14.008,56.628,0.635,38.023,,,0.0,0.0,
group_1996273_bot_cc390f2dcbab04de9a8637944d3a12ae,Bot,bot-heuristic,32,3,1.0,1,1.0,32.0,32.0,0.0,0.0,0.0,10.667,8.0,8.327,0.333,8.0,32.0,32.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2160.009,2160.009,0.0,0.0,0.0,,,0.0,0.0,,69.678,47.899,74.656,0.562,106.858,13.309,0.116,30.805,0.839,1.141
fdroid-bot,Bot,bot-heuristic,98,5,5.0,2,0.4,19.6,25.0,8.877,0.212,14.0,19.6,9.0,21.078,0.514,32.0,2.13,1.0,4.009,0.452,1.0,1.4,1.0,0.548,0.171,1.0,1.6,0.0,4.211,0.646,0.441,4.993,2.199,6.408,0.606,5.266,3.075,0.474,5.454,0.748,2.719,5.043,1.971,6.774,0.638,5.678
project_15462818_bot_3664b606fd994f2f0d7d6e1051c0505e,Bot,bot-heuristic,12,2,1.0,1,1.0,12.0,12.0,0.0,0.0,0.0,6.0,6.0,7.071,0.417,5.0,12.0,12.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,948.066,948.066,0.0,0.0,0.0,,,0.0,0.0,,86.188,91.788,73.099,0.454,105.497,0.095,0.095,0.0,0.0,0.0
kicad-bot,Bot,bot-heuristic,117,4,3.0,3,1.0,39.0,18.0,51.798,0.553,48.5,29.25,21.0,31.383,0.481,22.75,3.9,2.0,5.523,0.57,2.75,1.333,1.0,0.577,0.167,0.5,49.494,0.62,92.736,0.555,75.468,23.273,12.789,24.027,0.53,29.104,18.618,9.668,25.864,0.624,22.595,19.579,9.239,27.911,0.631,24.276
project_7153509_bot_7ca269a66ac9cc6ca2f90b68d42d3661,Bot,bot-heuristic,59,2,1.0,1,1.0,59.0,59.0,0.0,0.0,0.0,29.5,29.5,9.192,0.11,6.5,59.0,59.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2016.01,2016.01,0.0,0.0,0.0,,,0.0,0.0,,34.759,0.0,73.989,0.782,0.001,41.192,0.0,71.868,0.666,53.705
project_74823_bot_eecfeb210f383dd51e07077f09ad39a1,Bot,bot-heuristic,243,2,1.0,1,1.0,243.0,243.0,0.0,0.0,0.0,121.5,121.5,170.413,0.496,120.5,243.0,243.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1834.431,1834.431,0.0,0.0,0.0,,,0.0,0.0,,7.58,2.897,12.274,0.657,8.024,0.252,0.252,0.0,0.0,0.0
project_34675721_bot_63c565833c0f8145e9e29ea80c3a260a,Bot,bot-heuristic,92,1,1.0,1,1.0,92.0,92.0,0.0,0.0,0.0,92.0,92.0,0.0,0.0,0.0,92.0,92.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2139.955,2139.955,0.0,0.0,0.0,,,0.0,0.0,,23.516,8.942,45.977,0.667,23.333,,,0.0,0.0,
nomadic-margebot,Bot,bot-heuristic,204,4,2.0,1,0.5,102.0,102.0,94.752,0.328,67.0,51.0,53.0,33.407,0.309,49.0,3.091,1.0,3.427,0.49,3.75,2.5,2.5,2.121,0.3,1.5,0.294,0.0,0.579,0.545,0.291,2.106,0.567,7.975,0.773,0.251,0.77,0.107,4.588,0.86,0.523,0.895,0.084,5.145,0.878,0.523
project_1148549_bot_d81065e21dec9d41dc5634b28be45f2d,Bot,bot-heuristic,233,6,1.0,1,1.0,233.0,233.0,0.0,0.0,0.0,38.833,35.5,39.997,0.494,69.0,233.0,233.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,1455.127,1455.127,0.0,0.0,0.0,,,0.0,0.0,,6.272,0.003,19.804,0.906,0.344,6.947,0.002,20.874,0.897,0.041
project_1148549_bot_56abfea0258612034835203d73f47c34,Bot,bot-heuristic,178,2,1.0,1,1.0,178.0,178.0,0.0,0.0,0.0,89.0,89.0,124.451,0.494,88.0,178.0,178.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1445.343,1445.343,0.0,0.0,0.0,,,0.0,0.0,,8.166,2.12,15.422,0.744,7.949,1.554,1.554,0.0,0.0,0.0
project_1148549_bot_21bb566b6bbb2eb9618a42a7d1859a47,Bot,bot-heuristic,245,4,2.0,2,1.0,122.5,122.5,167.584,0.484,118.5,61.25,31.0,84.445,0.607,84.25,27.222,7.0,39.896,0.663,44.0,2.5,2.5,2.121,0.3,1.5,159.033,20.682,219.865,0.394,302.412,1.985,0.001,5.614,0.857,0.0,5.931,0.001,23.849,0.904,0.003,11.597,0.003,32.622,0.852,8.089
project_1148549_bot_54f67ee4e7c31c72c1458fe69ffda620,Bot,bot-heuristic,158,2,1.0,1,1.0,158.0,158.0,0.0,0.0,0.0,79.0,79.0,110.309,0.494,78.0,158.0,158.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1455.092,1455.092,0.0,0.0,0.0,,,0.0,0.0,,9.268,3.213,23.927,0.736,7.232,1.813,1.813,0.0,0.0,0.0
project_5261717_bot_496b695b4cbdf5e91b5be590c1d72f72,Bot,bot-heuristic,191,2,1.0,1,1.0,191.0,191.0,0.0,0.0,0.0,95.5,95.5,133.643,0.495,94.5,191.0,191.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1703.066,1703.066,0.0,0.0,0.0,,,0.0,0.0,,8.964,2.691,16.161,0.692,8.132,10.929,10.929,0.0,0.0,0.0
project_5261717_bot_c61048c9d61862d90bd10ad33a54aabc,Bot,bot-heuristic,135,5,2.0,2,1.0,67.5,67.5,92.631,0.485,65.5,27.0,12.0,31.008,0.519,19.0,27.0,29.0,26.683,0.486,40.0,3.0,3.0,2.828,0.333,2.0,215.455,119.963,330.482,0.416,165.318,0.0,0.0,0.0,0.0,0.0,8.039,0.0,35.149,0.898,0.001,14.558,0.0,46.419,0.865,0.002
project_3828396_bot_0f903a4c2ee94e92e669bf76d6f1c4a6,Bot,bot-heuristic,6,1,1.0,1,1.0,6.0,6.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1328.885,1328.885,0.0,0.0,0.0,,,0.0,0.0,,265.777,152.096,306.616,0.556,504.438,,,0.0,0.0,
project_2009901_bot_74b13bc7f440243490fab52f7ffc4d35,Bot,bot-heuristic,149,2,1.0,1,1.0,149.0,149.0,0.0,0.0,0.0,74.5,74.5,103.945,0.493,73.5,149.0,149.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1860.68,1860.68,0.0,0.0,0.0,,,0.0,0.0,,12.572,5.846,18.039,0.643,11.415,8.956,8.956,0.0,0.0,0.0
project_7071551_bot_6c18b737953d30166b19f5c7124223bc,Bot,bot-heuristic,223,1,1.0,1,1.0,223.0,223.0,0.0,0.0,0.0,223.0,223.0,0.0,0.0,0.0,223.0,223.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2182.224,2182.224,0.0,0.0,0.0,,,0.0,0.0,,9.83,3.358,19.669,0.703,8.721,,,0.0,0.0,
project_7071551_bot_f5fdad4eae13d23093bbe3413d011d9e,Bot,bot-heuristic,274,2,3.0,2,0.667,91.333,1.0,156.462,0.659,135.5,137.0,137.0,72.125,0.186,51.0,54.8,12.0,71.786,0.607,100.0,1.333,1.0,0.577,0.167,0.5,413.935,96.912,553.345,0.367,735.202,4.276,3.892,2.513,0.28,2.663,7.644,1.488,21.944,0.774,6.742,6.12,0.001,24.422,0.855,3.662
fsdk-marge-bot,Bot,bot-heuristic,204,6,2.0,1,0.5,102.0,102.0,138.593,0.48,98.0,34.0,30.5,24.372,0.358,39.5,40.8,30.0,42.423,0.508,73.0,4.0,4.0,2.828,0.25,2.0,12.982,7.687,14.466,0.411,27.384,3.62,2.922,3.986,0.518,5.253,0.391,0.001,1.733,0.944,0.002,0.347,0.001,1.42,0.938,0.001
glrenovatebot,Bot,bot-heuristic,292,6,20.0,7,0.35,14.6,4.0,29.763,0.701,7.5,48.667,46.5,47.098,0.466,80.25,5.123,2.0,7.735,0.592,3.0,2.25,2.0,1.209,0.286,2.0,0.421,0.002,3.102,0.968,0.007,2.094,0.03,6.443,0.898,0.113,0.485,0.001,3.22,0.974,0.004,0.557,0.001,3.464,0.971,0.004
group_1112072_bot_165944cd6e64b38b4c0520d5edcd2053,Bot,bot-heuristic,8,1,1.0,1,1.0,8.0,8.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1176.01,1176.01,0.0,0.0,0.0,,,0.0,0.0,,168.001,168.001,0.003,0.0,0.004,,,0.0,0.0,
group_1112072_bot_d014cc61531b07b593822b83bea118a3,Bot,bot-heuristic,80,1,1.0,1,1.0,80.0,80.0,0.0,0.0,0.0,80.0,80.0,0.0,0.0,0.0,80.0,80.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,917.367,917.367,0.0,0.0,0.0,,,0.0,0.0,,11.612,6.632,14.008,0.575,10.994,,,0.0,0.0,
group_1112072_bot_fe57696218e80a2d38f21d17114b3f65,Bot,bot-heuristic,184,1,1.0,1,1.0,184.0,184.0,0.0,0.0,0.0,184.0,184.0,0.0,0.0,0.0,184.0,184.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1455.0,1455.0,0.0,0.0,0.0,,,0.0,0.0,,7.951,8.0,0.596,0.007,0.002,,,0.0,0.0,
group_1112072_bot_0d41afb74ecfaa55ec5343f59ceb3a78,Bot,bot-heuristic,12,1,1.0,1,1.0,12.0,12.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,762.04,762.04,0.0,0.0,0.0,,,0.0,0.0,,69.276,2.003,125.414,0.753,86.998,,,0.0,0.0,
project_14292404_bot_57d28a1bb55cd4dd0db2d62e98d1949b,Bot,bot-heuristic,6,2,1.0,1,1.0,6.0,6.0,0.0,0.0,0.0,3.0,3.0,2.828,0.333,2.0,6.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1038.753,1038.753,0.0,0.0,0.0,,,0.0,0.0,,207.751,115.6,306.998,0.627,154.985,9.593,9.593,0.0,0.0,0.0
project_734943_bot_a69f6c6d12e0117b341434920c8eba0d,Bot,bot-heuristic,33,2,1.0,1,1.0,33.0,33.0,0.0,0.0,0.0,16.5,16.5,21.92,0.47,15.5,33.0,33.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2110.152,2110.152,0.0,0.0,0.0,,,0.0,0.0,,65.942,34.145,77.834,0.579,93.037,184.289,184.289,0.0,0.0,0.0
group_10870176_bot_74544bb7e730d4b0d05330e11754cbff,Bot,bot-heuristic,27,1,1.0,1,1.0,27.0,27.0,0.0,0.0,0.0,27.0,27.0,0.0,0.0,0.0,27.0,27.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,15.596,15.596,0.0,0.0,0.0,,,0.0,0.0,,0.6,0.001,2.897,0.957,0.001,,,0.0,0.0,
group_56389922_bot_5b7b722f970e61e78b5abbfbae051183,Bot,bot-heuristic,300,4,2.0,1,0.5,150.0,150.0,207.889,0.49,147.0,75.0,10.0,134.707,0.685,68.5,42.857,8.0,81.284,0.735,31.5,2.0,2.0,1.414,0.25,1.0,144.292,8.364,270.164,0.55,130.22,1.415,0.77,1.711,0.588,2.632,3.406,1.092,8.303,0.729,2.725,0.658,0.06,1.165,0.757,0.668
project_42817607_bot_a8244e73f1daf844c1fa6e91f7f3eb04,Bot,bot-heuristic,112,1,1.0,1,1.0,112.0,112.0,0.0,0.0,0.0,112.0,112.0,0.0,0.0,0.0,112.0,112.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2053.386,2053.386,0.0,0.0,0.0,,,0.0,0.0,,18.499,13.279,22.008,0.542,18.195,,,0.0,0.0,
group_56389922_bot_d5acfd3f236b75a39c7a05d8424e5448,Bot,bot-heuristic,295,4,2.0,2,1.0,147.5,147.5,205.768,0.493,145.5,73.75,39.0,99.269,0.596,101.25,59.0,60.0,61.168,0.508,87.0,2.0,2.0,1.414,0.25,1.0,292.806,336.005,303.773,0.175,408.014,29.997,28.005,22.03,0.35,29.993,5.388,0.001,15.017,0.878,0.001,6.235,0.0,17.112,0.866,0.0
project_40916776_bot_1b87eb13b8a1e9905daaeef23145fa68,Bot,bot-heuristic,93,1,1.0,1,1.0,93.0,93.0,0.0,0.0,0.0,93.0,93.0,0.0,0.0,0.0,93.0,93.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2164.831,2164.831,0.0,0.0,0.0,,,0.0,0.0,,23.531,9.882,40.199,0.663,22.148,,,0.0,0.0,
project_430285_bot_70904fb10342485479573b9773c04385,Bot,bot-heuristic,21,2,1.0,1,1.0,21.0,21.0,0.0,0.0,0.0,10.5,10.5,13.435,0.452,9.5,21.0,21.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,146.512,146.512,0.0,0.0,0.0,,,0.0,0.0,,7.326,4.341,11.111,0.646,8.538,0.045,0.045,0.0,0.0,0.0
project_430285_bot_fd77d0789f6bca571bf21d19023c6d86,Bot,bot-heuristic,157,2,1.0,1,1.0,157.0,157.0,0.0,0.0,0.0,78.5,78.5,109.602,0.494,77.5,157.0,157.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1451.745,1451.745,0.0,0.0,0.0,,,0.0,0.0,,9.306,2.817,16.696,0.712,9.273,2.759,2.759,0.0,0.0,0.0
project_430285_bot_50b118267442859ba0f8b7b2fe384a28,Bot,bot-heuristic,186,6,1.0,1,1.0,186.0,186.0,0.0,0.0,0.0,31.0,14.5,36.932,0.572,50.75,186.0,186.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,1453.241,1453.241,0.0,0.0,0.0,,,0.0,0.0,,7.855,0.003,20.579,0.866,1.687,8.1,0.003,20.862,0.861,0.859
project_4149988_bot_f13e10c1e5f1decbe8427389ecf1d9e9,Bot,bot-heuristic,6,2,1.0,1,1.0,6.0,6.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,432.354,432.354,0.0,0.0,0.0,,,0.0,0.0,,86.471,0.002,131.952,0.676,133.811,0.001,0.0,0.001,0.417,0.001
project_4149988_bot_fcce6e2292ad895981a769160373b9b4,Bot,bot-heuristic,12,1,1.0,1,1.0,12.0,12.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2015.282,2015.282,0.0,0.0,0.0,,,0.0,0.0,,183.207,151.042,237.602,0.5,102.424,,,0.0,0.0,
project_1083469_bot_85991a4c5d3ea1ea7bfdfd99a0ee859c,Bot,bot-heuristic,13,1,1.0,1,1.0,13.0,13.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017.012,2017.012,0.0,0.0,0.0,,,0.0,0.0,,168.084,167.995,2.382,0.005,0.039,,,0.0,0.0,
project_39683789_bot_dee396b4d99605ba9e4d730fbdf6bf09,Bot,bot-heuristic,6,2,1.0,1,1.0,6.0,6.0,0.0,0.0,0.0,3.0,3.0,2.828,0.333,2.0,6.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.685,0.685,0.0,0.0,0.0,,,0.0,0.0,,0.137,0.072,0.166,0.561,0.144,0.171,0.171,0.0,0.0,0.0
lilypond-bot,Bot,bot-heuristic,108,1,1.0,1,1.0,108.0,108.0,0.0,0.0,0.0,108.0,108.0,0.0,0.0,0.0,108.0,108.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2130.313,2130.313,0.0,0.0,0.0,,,0.0,0.0,,19.909,6.171,30.463,0.689,31.121,,,0.0,0.0,
project_18899486_bot_e2d93076458c73e2ae2466ffe3add2a1,Bot,bot-heuristic,29,2,1.0,1,1.0,29.0,29.0,0.0,0.0,0.0,14.5,14.5,19.092,0.466,13.5,29.0,29.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1324.139,1324.139,0.0,0.0,0.0,,,0.0,0.0,,47.291,12.887,78.843,0.706,44.871,0.026,0.026,0.0,0.0,0.0
cki-admin-bot,Bot,bot-heuristic,179,2,2.0,1,0.5,89.5,89.5,70.004,0.277,49.5,89.5,89.5,7.778,0.031,5.5,4.475,2.0,3.843,0.422,4.0,2.0,2.0,0.0,0.0,0.0,39.835,0.001,70.464,0.715,70.343,14.59,8.667,18.154,0.557,10.886,12.148,1.395,23.618,0.764,12.751,9.619,0.473,17.921,0.772,11.271
cki-bot,Bot,bot-heuristic,300,1,2.0,2,1.0,150.0,150.0,70.711,0.167,50.0,300.0,300.0,0.0,0.0,0.0,3.896,2.0,4.093,0.494,4.0,1.0,1.0,0.0,0.0,0.0,5.777,0.87,10.788,0.622,5.734,3.898,1.693,4.981,0.61,3.997,2.478,0.666,4.417,0.732,2.464,,,0.0,0.0,
cki-kwf-bot,Bot,bot-heuristic,75,3,4.0,2,0.5,18.75,19.5,14.198,0.363,13.75,25.0,13.0,31.749,0.533,30.0,1.415,1.0,0.819,0.234,1.0,1.75,2.0,0.5,0.107,0.25,0.108,0.0,0.312,0.547,0.019,0.259,0.084,0.417,0.683,0.207,0.26,0.084,0.415,0.678,0.248,0.249,0.168,0.282,0.517,0.192
cki-backport-bot,Bot,bot-heuristic,300,3,4.0,1,0.25,75.0,75.0,42.724,0.247,74.0,100.0,149.0,85.738,0.331,74.5,1.031,1.0,0.192,0.029,0.0,1.25,1.0,0.5,0.15,0.25,0.173,0.0,2.704,0.831,0.0,5.483,0.003,28.515,0.928,0.125,5.486,0.007,28.192,0.927,0.167,5.451,0.003,28.42,0.928,0.134
imagebuilder-bot,Bot,bot-heuristic,294,5,10.0,3,0.3,29.4,6.0,35.362,0.592,51.5,58.8,5.0,78.043,0.601,104.0,1.624,1.0,1.221,0.304,1.0,2.0,2.0,0.471,0.09,0.0,0.746,0.0,2.891,0.734,0.077,2.001,0.465,4.696,0.776,1.055,1.69,0.412,4.15,0.774,1.017,1.846,0.532,4.294,0.745,0.919
tikibot,Bot,bot-heuristic,297,2,3.0,2,0.667,99.0,16.0,145.496,0.568,126.5,148.5,148.5,188.798,0.449,133.5,7.071,2.0,10.05,0.617,7.0,1.667,2.0,0.577,0.133,0.5,37.373,1.866,59.919,0.599,58.149,7.327,5.448,7.808,0.527,6.278,6.318,3.08,8.762,0.599,6.825,8.888,1.79,15.061,0.706,11.46
cki-ci-bot,Bot,bot-heuristic,245,5,8.0,3,0.375,30.625,21.5,31.218,0.522,46.25,49.0,53.0,37.37,0.367,35.0,2.356,2.0,2.512,0.418,2.0,2.375,2.0,1.506,0.322,2.25,0.82,0.002,2.507,0.794,0.176,2.825,0.735,5.36,0.737,2.985,1.542,0.018,3.998,0.84,0.97,1.398,0.002,4.207,0.881,0.375
cki-ark-bot,Bot,bot-heuristic,253,4,1.0,1,1.0,253.0,253.0,0.0,0.0,0.0,63.25,36.5,71.332,0.489,63.25,253.0,253.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1320.885,1320.885,0.0,0.0,0.0,,,0.0,0.0,,5.242,0.001,10.001,0.78,0.911,0.978,0.001,5.237,0.957,0.0
service_account_group_59800588_5b856dc377465a1db9d1212fddf584f3,Bot,bot-heuristic,255,5,18.0,5,0.278,14.167,1.5,42.896,0.811,6.0,51.0,54.0,39.919,0.38,48.0,2.237,1.0,2.756,0.454,1.0,2.167,1.5,1.465,0.343,2.0,4.421,0.0,17.064,0.794,0.001,3.641,0.001,11.655,0.894,0.001,3.604,0.001,12.467,0.913,0.001,7.247,0.001,17.079,0.832,0.003
html-validate-bot,Bot,bot-heuristic,300,5,25.0,1,0.04,12.0,8.0,11.269,0.382,7.0,60.0,3.0,83.12,0.629,114.0,2.632,2.0,1.947,0.328,2.0,2.16,2.0,0.554,0.068,0.0,0.028,0.001,0.195,0.874,0.01,0.266,0.014,1.646,0.924,0.021,0.111,0.009,1.019,0.935,0.014,0.048,0.006,0.209,0.901,0.011
project_65271576_bot_b1536fd80e97ecd45130660fde570b1f,Bot,bot-heuristic,23,2,1.0,1,1.0,23.0,23.0,0.0,0.0,0.0,11.5,11.5,14.849,0.457,10.5,23.0,23.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,971.606,971.606,0.0,0.0,0.0,,,0.0,0.0,,44.164,8.996,63.261,0.67,67.125,26.657,26.657,0.0,0.0,0.0
project_22820629_bot_cbc9e007e1c4005d5d848f10a895abd1,Bot,bot-heuristic,25,2,1.0,1,1.0,25.0,25.0,0.0,0.0,0.0,12.5,12.5,10.607,0.3,7.5,25.0,25.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1586.659,1586.659,0.0,0.0,0.0,,,0.0,0.0,,66.111,6.883,105.6,0.728,98.473,73.34,26.554,104.624,0.662,117.879
sahbot,Bot,bot-heuristic,289,3,77.0,16,0.208,3.753,2.0,3.171,0.386,2.0,96.333,142.0,82.585,0.334,72.5,1.46,1.0,0.566,0.188,1.0,1.909,2.0,0.332,0.055,0.0,0.106,0.0,1.396,0.968,0.0,1.291,0.036,4.565,0.867,0.498,0.956,0.017,3.929,0.9,0.231,1.072,0.018,4.417,0.909,0.244
group_6326218_bot_9d9ca8037e956312eed263446ba87e1a,Bot,bot-heuristic,171,2,24.0,6,0.25,7.125,1.5,23.285,0.764,2.0,85.5,85.5,33.234,0.137,23.5,3.638,1.0,9.613,0.632,2.0,1.208,1.0,0.415,0.136,0.0,17.189,0.0,75.322,0.846,0.124,6.437,5.827,6.149,0.522,10.5,6.494,0.897,8.718,0.671,11.605,3.649,0.003,6.954,0.791,3.591
tbc-bot,Bot,bot-heuristic,251,7,31.0,3,0.097,8.097,8.0,6.426,0.384,7.0,35.857,36.0,20.4,0.297,24.0,1.976,1.0,1.858,0.379,1.0,3.387,4.0,1.383,0.218,1.0,0.065,0.0,0.639,0.966,0.001,3.3,0.011,12.314,0.924,0.028,1.696,0.002,8.886,0.955,0.012,1.303,0.002,6.245,0.954,0.008
project_13831684_bot_f32bbd5a1ce2999593a10380eaf8557a,Bot,bot-heuristic,95,2,1.0,1,1.0,95.0,95.0,0.0,0.0,0.0,47.5,47.5,65.761,0.489,46.5,95.0,95.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1549.995,1549.995,0.0,0.0,0.0,,,0.0,0.0,,16.489,3.684,30.916,0.733,17.414,1.355,1.355,0.0,0.0,0.0
group_7003188_bot_4f0a14a1ffaa54b5c9253655dcc3aa8d,Bot,bot-heuristic,98,3,7.0,2,0.286,14.0,14.0,11.576,0.429,16.5,32.667,1.0,54.848,0.646,47.5,2.882,1.0,5.002,0.548,1.0,1.143,1.0,0.378,0.107,0.0,23.522,0.0,61.505,0.685,1.391,39.239,6.858,63.386,0.712,27.826,21.594,0.976,45.946,0.809,20.228,52.317,11.443,90.017,0.593,63.616
