contributor,dataset,label,DAAR_IQR,DAAR_gini,DAAR_mean,DAAR_median,DAAR_std,DCAR_IQR,DCAR_gini,DCAR_mean,DCAR_median,DCAR_std,DCAT_IQR,DCAT_gini,DCAT_mean,DCAT_median,DCAT_std,DCA_IQR,DCA_gini,DCA_mean,DCA_median,DCA_std,NA,NAR_IQR,NAR_gini,NAR_mean,NAR_median,NAR_std,NAT_IQR,NAT_gini,NAT_mean,NAT_median,NAT_std,NCAR_IQR,NCAR_gini,NCAR_mean,NCAR_median,NCAR_std,NOR,NT,NTR_IQR,NTR_gini,NTR_mean,NTR_median,NTR_std,ORR
kaczmarj,train,Human,44.184,0.593,43.242,22.819,52.922,8.141,0.641,95.446,1.495,206.408,51.948,0.79,67.176,6.353,142.204,41.481,0.818,58.419,2.739,134.16,24,2.0,0.454,2.667,1.0,2.739,2.0,0.278,2.667,3.0,1.581,2.0,0.375,2.4,1.5,1.838,7,9,2.0,0.333,2.0,1.0,1.414,0.778
plasmapy-requirements-bot[bot],train,Bot,,0.0,,,0.0,0.0,0.0,2016.001,2016.001,0.0,167.987,0.596,65.739,0.001,76.555,167.998,0.53,77.538,59.522,79.168,27,0.0,0.0,27.0,27.0,0.0,3.0,0.148,9.0,9.0,3.0,0.0,0.0,27.0,27.0,0.0,1,3,0.0,0.0,3.0,3.0,0.0,1.0
accesslint[bot],train,Bot,18.982,0.602,17.468,10.234,23.272,0.0,0.78,2.276,0.0,7.535,,0.0,,,0.0,3.512,0.684,5.915,0.0,15.311,205,8.0,0.604,7.593,3.0,10.323,0.0,0.0,205.0,205.0,0.0,2.75,0.515,3.306,2.0,4.348,27,1,0.0,0.0,1.0,1.0,0.0,1.0
blueztestbot,train,Bot,4.886,0.754,7.88,2.066,15.637,2.969,0.752,6.927,0.358,16.311,1.519,0.83,3.929,0.011,10.128,0.108,0.924,1.514,0.015,6.286,299,95.25,0.635,74.75,30.0,111.425,23.5,0.607,49.833,31.5,75.072,10.5,0.593,9.645,5.0,12.241,2,6,1.5,0.208,3.0,3.5,1.414,0.5
thundernest-bot,train,Bot,,0.0,,,0.0,0.0,0.0,1193.347,1193.347,0.0,,0.0,,,0.0,1.82,0.832,3.991,0.326,10.288,300,0.0,0.0,300.0,300.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,300.0,300.0,0.0,1,1,0.0,0.0,1.0,1.0,0.0,1.0
syndace,train,Human,2.791,0.852,12.562,0.605,30.826,0.142,0.864,7.769,0.029,28.26,1.958,0.879,9.818,0.188,26.937,1.469,0.879,9.574,0.177,25.833,91,5.75,0.44,5.056,3.5,4.263,3.0,0.62,7.0,3.0,12.369,1.5,0.349,2.116,2.0,1.693,8,13,1.75,0.261,2.222,2.0,1.215,0.444
bluca,train,Human,0.657,0.785,0.981,0.224,2.313,0.214,0.896,1.507,0.0,8.306,0.472,0.885,1.469,0.12,6.215,0.397,0.874,1.094,0.148,5.2,232,20.0,0.667,19.333,4.0,28.934,12.75,0.501,19.333,13.0,24.854,1.0,0.419,2.275,1.0,2.442,4,12,1.5,0.345,2.917,2.5,2.193,0.333
dbaeumer,train,Human,2.078,0.9,11.885,0.304,40.274,0.222,0.846,0.998,0.003,3.561,0.349,0.917,2.458,0.057,10.379,0.19,0.952,4.109,0.043,23.283,158,17.25,0.433,15.8,15.0,12.985,14.0,0.652,13.167,3.0,19.268,3.0,0.47,3.098,2.0,3.624,2,12,4.5,0.408,3.9,3.0,3.071,0.2
wpmobilebot,train,Bot,1.366,0.757,2.075,0.548,6.019,0.462,0.752,0.787,0.024,2.11,0.196,0.718,0.23,0.086,0.425,1.0,0.78,1.289,0.239,4.215,297,51.25,0.537,37.125,23.5,39.459,2.0,0.77,59.4,2.0,127.235,1.0,0.352,2.216,2.0,2.009,3,5,1.75,0.375,2.125,1.0,1.808,0.375
adamscybot,train,Human,75.813,0.709,57.296,11.736,87.222,0.589,0.78,6.059,0.0,23.133,17.992,0.799,38.515,1.378,76.523,16.045,0.84,29.443,0.453,66.186,55,1.75,0.573,3.056,1.0,5.461,7.0,0.536,5.5,2.5,6.294,1.0,0.443,2.115,1.0,3.011,16,10,0.0,0.261,1.444,1.0,1.042,0.889
herpaderpaldent,train,Human,22.136,0.795,354.943,0.159,781.192,0.262,0.663,20.205,0.09,49.261,0.202,0.967,47.338,0.051,276.783,0.215,0.972,39.499,0.064,252.751,49,11.25,0.648,12.25,2.5,20.516,6.75,0.427,4.9,4.5,3.985,4.25,0.67,8.167,2.0,14.261,3,10,2.0,0.429,3.5,2.0,3.697,0.75
cocoapodsbot,train,Bot,,0.0,,,0.0,0.0,0.0,25.058,25.058,0.0,,0.0,,,0.0,0.078,0.681,0.084,0.03,0.175,300,0.0,0.0,300.0,300.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,300.0,300.0,0.0,1,1,0.0,0.0,1.0,1.0,0.0,1.0
nblumhardt,train,Human,5.449,0.839,7.446,0.238,21.188,0.009,0.893,0.63,0.0,3.861,1.805,0.88,5.664,0.11,19.443,2.098,0.879,5.158,0.108,17.446,225,7.0,0.576,5.625,2.0,7.095,21.0,0.546,16.071,10.5,17.157,1.0,0.281,1.562,1.0,1.133,12,14,2.0,0.399,2.475,2.0,2.063,0.3
schutzbot,train,Bot,8.65,0.624,4.99,2.407,6.078,0.0,0.772,1.601,0.0,7.142,4.685,0.695,3.785,1.587,5.534,7.337,0.689,4.894,2.013,6.996,272,20.5,0.464,22.667,14.0,21.364,22.25,0.43,34.0,29.5,30.081,0.0,0.211,1.347,1.0,0.732,2,8,2.25,0.282,2.583,3.0,1.379,0.167
botcerts,train,Bot,22.505,0.78,23.042,1.721,43.675,7.094,0.868,33.569,0.017,97.646,0.892,0.903,15.461,0.004,48.914,0.437,0.915,13.583,0.002,46.091,116,14.25,0.434,19.333,16.5,17.455,23.75,0.374,19.333,17.0,14.76,2.5,0.369,4.143,3.0,3.33,2,6,0.75,0.083,2.667,3.0,0.516,0.333
arcus-automation,train,Bot,58.011,0.368,114.593,106.449,86.344,14.382,0.735,166.378,1.596,426.918,120.679,0.538,101.0,81.694,106.966,110.989,0.607,74.088,31.238,90.951,26,11.0,0.564,8.667,2.0,12.423,6.0,0.231,13.0,13.0,8.485,1.5,0.549,3.714,2.0,5.469,1,2,0.5,0.167,1.333,1.0,0.577,0.333
mhchia,train,Human,16.356,0.79,22.399,2.284,47.419,5.34,0.768,15.392,0.081,38.738,24.958,0.779,22.136,0.911,45.132,5.909,0.847,11.129,0.421,30.35,145,6.5,0.734,12.083,2.5,25.543,2.0,0.686,11.154,4.0,26.191,2.0,0.532,3.372,2.0,6.036,7,13,2.0,0.451,2.833,1.5,2.855,0.583
markmhendrickson,train,Human,72.825,0.599,47.219,24.997,56.031,40.739,0.71,85.183,0.004,222.903,24.865,0.648,29.673,18.267,42.648,29.887,0.8,43.208,8.311,130.862,52,5.0,0.638,10.4,4.0,16.682,1.0,0.65,5.778,2.0,9.744,3.0,0.489,3.059,2.0,3.881,3,9,2.0,0.457,2.8,1.0,3.033,0.6
andrewhop,train,Human,13.495,0.804,13.394,0.876,28.087,3.317,0.788,13.528,0.084,39.105,9.556,0.823,12.16,0.876,28.72,1.44,0.895,5.977,0.111,19.965,251,26.0,0.683,41.833,12.5,72.585,40.75,0.533,41.833,26.0,49.503,3.0,0.622,4.482,2.0,7.666,5,6,0.75,0.348,1.833,1.0,1.602,0.833
floryst,train,Human,19.068,0.78,15.492,2.167,30.784,0.345,0.856,16.19,0.038,51.803,1.107,0.902,8.919,0.058,32.14,1.091,0.898,7.981,0.057,29.261,269,4.0,0.762,20.692,2.0,39.371,22.0,0.426,20.692,19.0,16.474,3.0,0.52,3.956,2.0,4.979,9,13,4.0,0.499,3.462,1.0,3.711,0.692
5imon-bot,train,Bot,120.699,0.633,88.311,31.839,123.493,58.644,0.581,41.609,0.768,67.335,1.085,0.798,43.487,0.004,96.631,30.346,0.808,34.317,1.019,75.855,59,9.25,0.436,14.75,7.5,16.215,26.5,0.599,19.667,2.0,30.6,4.0,0.397,3.688,3.5,2.798,1,3,0.5,0.25,1.5,1.0,1.0,0.25
codekoala,train,Human,106.13,0.68,61.806,17.862,90.764,0.0,0.0,0.0,0.0,0.0,99.1,0.718,72.356,11.294,119.8,106.13,0.68,61.806,17.862,90.764,29,0.0,0.064,1.074,1.0,0.267,0.0,0.579,5.8,2.0,9.066,0.0,0.0,1.0,1.0,0.0,26,5,0.0,0.064,1.074,1.0,0.267,0.963
codeforiatibot,train,Bot,,0.0,,,0.0,0.0,0.0,2.399,2.399,0.0,,0.0,,,0.0,0.002,0.069,0.008,0.008,0.001,300,0.0,0.0,300.0,300.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,300.0,300.0,0.0,1,1,0.0,0.0,1.0,1.0,0.0,1.0
ibm-ci-bot,train,Bot,10.467,0.8,11.896,1.024,26.325,0.689,0.831,3.062,0.002,12.2,1.14,0.824,2.06,0.104,4.513,1.401,0.895,5.099,0.099,17.447,160,25.0,0.403,20.0,18.5,15.538,43.5,0.591,40.0,15.0,57.335,3.0,0.461,2.909,2.0,2.908,1,4,0.25,0.113,2.625,3.0,0.744,0.125
bert-e,train,Bot,2.156,0.818,5.239,0.346,12.119,0.072,0.944,1.996,0.002,10.104,0.075,0.931,1.618,0.001,7.817,0.075,0.934,1.483,0.001,7.241,256,22.25,0.548,25.6,18.5,32.901,41.75,0.529,42.667,25.0,48.314,5.0,0.427,4.83,3.0,4.089,1,6,1.75,0.229,3.4,3.5,1.506,0.1
jcdickinson,train,Human,37.942,0.704,31.801,11.911,50.877,0.037,0.814,2.236,0.0,10.648,10.498,0.837,13.564,0.093,32.524,2.479,0.87,12.846,0.121,35.002,131,3.0,0.647,4.679,1.0,8.718,5.5,0.614,8.733,4.0,16.153,1.0,0.546,2.62,1.0,5.241,20,15,1.25,0.356,1.893,1.0,1.524,0.714
oxide-renovate[bot],train,Bot,0.622,0.828,4.816,0.043,10.293,0.001,0.978,0.71,0.001,6.495,0.031,0.902,2.539,0.001,7.636,0.039,0.915,2.361,0.003,7.677,233,24.5,0.474,23.3,14.0,22.529,57.0,0.461,33.286,15.0,31.293,1.25,0.343,2.33,2.0,1.944,1,7,2.75,0.343,2.8,3.0,1.932,0.1
nrel-bot-2c,train,Bot,0.245,0.829,0.386,0.077,1.715,0.039,0.851,2.87,0.0,13.642,0.245,0.829,0.386,0.077,1.715,0.299,0.917,1.883,0.002,10.274,300,35.0,0.117,150.0,150.0,49.497,76.5,0.34,100.0,83.0,77.904,1.0,0.289,1.734,1.0,1.867,2,3,0.5,0.167,1.5,1.5,0.707,1.0
slack-oss-bot,train,Bot,0.046,0.79,4.689,0.007,9.195,0.017,0.901,2.713,0.002,9.553,0.011,0.885,2.4,0.001,6.767,0.004,0.928,1.538,0.001,5.503,282,74.5,0.352,94.0,127.0,79.793,2.25,0.446,47.0,31.0,52.722,6.0,0.476,4.78,3.0,4.628,1,6,1.5,0.143,4.667,5.0,1.528,0.333
phillip-ground[bot],train,Bot,5.662,0.732,3.111,0.187,5.018,0.0,0.721,0.52,0.0,2.161,0.018,0.922,0.417,0.0,1.737,0.189,0.823,1.632,0.035,3.851,255,24.5,0.4,36.429,34.0,30.088,20.5,0.617,36.429,15.0,56.891,0.0,0.515,2.217,1.0,5.323,1,7,4.0,0.408,3.0,1.0,2.582,0.143
adafruit-adabot,train,Bot,18.823,0.576,21.333,12.294,26.333,0.001,0.773,18.765,0.0,50.321,23.994,0.702,17.014,0.001,26.812,23.985,0.69,17.063,4.547,26.324,129,2.0,0.754,7.588,1.0,19.551,51.75,0.475,32.25,27.5,33.53,1.0,0.405,2.345,2.0,2.311,2,4,0.0,0.124,1.176,1.0,0.393,0.118
wojcikstefan,train,Human,148.709,0.736,95.623,13.582,166.726,0.0,0.482,20.244,0.0,54.97,148.268,0.695,102.705,35.577,164.264,69.201,0.78,64.12,1.049,128.898,23,1.0,0.502,2.556,1.0,3.609,2.0,0.329,2.556,2.0,1.667,0.0,0.368,1.769,1.0,1.787,9,9,1.0,0.333,1.778,1.0,1.394,1.0
psalm-github-bot[bot],train,Bot,5.626,0.236,11.935,11.935,7.956,1005.151,0.475,687.169,51.205,1146.152,,0.0,,,0.0,41.771,0.597,31.597,17.448,37.957,67,32.5,0.485,33.5,33.5,45.962,0.0,0.0,67.0,67.0,0.0,30.0,0.597,22.333,5.0,33.546,2,1,0.0,0.0,1.0,1.0,0.0,1.0
rhshadrach,train,Human,1.678,0.792,1.852,0.158,4.213,0.25,0.81,1.097,0.001,3.76,0.337,0.869,1.248,0.073,3.709,0.274,0.872,1.082,0.058,3.316,201,36.0,0.462,40.2,39.0,38.121,12.0,0.464,15.462,13.0,14.356,2.0,0.485,2.716,1.5,3.891,4,13,5.0,0.438,4.2,3.0,3.834,0.8
decentraland-bot,train,Bot,20.38,0.738,16.039,3.026,33.996,3.047,0.677,13.703,0.0,35.115,13.695,0.702,9.09,1.74,14.134,20.037,0.724,14.241,2.823,27.089,121,21.0,0.508,20.167,12.5,21.812,53.5,0.442,60.5,60.5,75.66,1.0,0.4,2.086,1.0,2.13,1,2,0.75,0.133,1.667,2.0,0.516,0.167
sighrobot,train,Human,,0.0,,,0.0,0.0,0.0,1626.619,1626.619,0.0,17.003,0.848,66.869,6.404,174.853,97.892,0.799,81.331,6.404,169.925,21,0.0,0.0,21.0,21.0,0.0,0.0,0.357,3.5,2.0,3.674,0.0,0.0,21.0,21.0,0.0,1,6,0.0,0.0,6.0,6.0,0.0,1.0
sd-buildbot,train,Bot,14.813,0.738,15.913,4.83,38.636,0.003,0.787,10.07,0.0,28.149,1.69,0.876,4.146,0.001,12.021,8.564,0.804,9.76,1.645,27.099,223,3.0,0.648,13.118,6.0,28.714,44.25,0.586,55.75,21.5,81.303,2.0,0.421,2.655,2.0,2.553,1,4,2.0,0.185,2.353,3.0,0.931,0.059
tnrich,train,Human,60.301,0.757,50.077,3.185,87.036,0.002,0.737,47.233,0.0,178.128,8.192,0.863,18.82,0.134,49.707,18.614,0.841,23.277,0.222,54.086,95,5.5,0.712,11.875,2.5,24.038,8.0,0.544,8.636,5.0,10.93,0.5,0.684,4.13,1.0,10.328,7,11,1.75,0.435,2.625,1.5,2.56,0.875
petersilva,train,Human,8.154,0.745,6.938,0.974,12.831,1.851,0.784,12.27,0.215,31.529,2.128,0.851,4.856,0.226,12.73,1.037,0.87,3.635,0.161,10.672,221,23.0,0.664,44.2,8.0,72.888,15.5,0.532,15.786,11.0,17.445,4.75,0.587,5.262,2.5,7.768,2,14,3.0,0.387,6.0,4.0,4.95,0.4
guardrails[bot],train,Bot,0.957,0.519,0.785,0.438,0.84,0.0,0.868,0.003,0.0,0.036,,0.0,,,0.0,0.958,0.57,0.697,0.422,0.828,297,1.0,0.559,2.912,1.0,5.08,0.0,0.0,297.0,297.0,0.0,0.0,0.109,1.129,1.0,0.591,48,1,0.0,0.0,1.0,1.0,0.0,0.471
bonny,train,Human,17.146,0.697,18.769,2.518,30.082,166.899,0.581,143.955,2.022,243.936,6.858,0.814,12.108,0.468,26.775,4.172,0.828,10.431,0.301,24.053,202,15.0,0.75,40.4,1.0,79.98,20.0,0.631,15.538,5.0,22.692,16.0,0.587,15.538,12.0,18.446,2,13,1.0,0.541,3.4,1.0,4.827,0.4
jiangying000,train,Human,77.121,0.52,64.376,53.121,67.296,0.0,0.66,0.897,0.0,3.666,76.188,0.576,56.263,32.486,67.63,72.077,0.654,45.426,21.349,62.987,47,0.75,0.39,1.808,1.0,2.562,11.0,0.486,6.714,2.0,6.676,0.0,0.266,1.424,1.0,1.3,24,7,0.0,0.113,1.154,1.0,0.368,0.923
cryptix,train,Human,38.854,0.654,33.021,20.982,46.789,1.373,0.764,47.629,0.01,130.261,5.74,0.869,15.805,0.118,47.864,2.354,0.888,9.204,0.117,33.554,234,1.75,0.808,16.714,1.0,39.316,16.5,0.637,16.714,8.5,28.596,7.0,0.702,8.667,2.0,14.876,12,14,1.0,0.45,2.429,1.0,2.652,0.857
nsmbot,train,Bot,0.002,0.981,0.075,0.001,0.767,0.0,0.952,0.032,0.0,0.263,0.002,0.975,0.082,0.0,0.709,0.002,0.977,0.06,0.001,0.603,248,1.0,0.56,9.92,4.0,15.689,2.0,0.029,49.6,50.0,2.966,1.0,0.294,1.797,1.0,1.154,1,5,0.0,0.098,4.0,4.0,0.866,0.04
scottbot,train,Human,,0.0,,,0.0,0.0,0.0,1290.632,1290.632,0.0,,0.0,,,0.0,290.808,0.368,322.658,350.467,247.308,5,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,1,1,0.0,0.0,1.0,1.0,0.0,1.0
trendmicro-frontend-bot,train,Bot,,0.0,,,0.0,0.0,0.0,1584.729,1584.729,0.0,,0.0,,,0.0,237.348,0.528,121.902,87.579,123.47,14,0.0,0.0,14.0,14.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,14.0,14.0,0.0,1,1,0.0,0.0,1.0,1.0,0.0,1.0
kumakichi,train,Human,,0.0,,,0.0,0.0,0.0,1.269,1.269,0.0,0.129,0.662,0.103,0.028,0.161,0.111,0.639,0.091,0.036,0.135,15,0.0,0.0,15.0,15.0,0.0,1.5,0.344,2.5,2.0,1.871,0.0,0.0,15.0,15.0,0.0,1,6,0.0,0.0,6.0,6.0,0.0,1.0
rs,train,Human,21.767,0.827,21.008,0.324,60.76,0.601,0.79,7.192,0.0,22.381,2.997,0.879,12.727,0.075,44.827,0.628,0.907,9.39,0.062,37.985,230,7.0,0.667,12.105,5.0,24.064,12.5,0.565,15.333,10.0,20.342,2.0,0.51,2.987,1.0,4.324,8,15,2.0,0.386,2.368,2.0,2.14,0.421
cloudkite,train,Human,302.475,0.601,211.542,176.083,270.981,26.609,0.496,27.711,0.0,55.999,302.475,0.665,186.997,67.244,276.889,56.429,0.821,77.893,1.212,176.399,29,2.5,0.565,3.625,1.0,5.208,5.75,0.534,4.833,2.0,5.672,1.75,0.528,2.9,1.0,4.332,8,6,0.25,0.15,1.25,1.0,0.463,1.0
devtools-bot,train,Bot,,0.0,,,0.0,0.0,0.0,482.535,482.535,0.0,0.0,0.75,96.507,0.0,215.796,0.0,0.75,96.507,0.0,215.796,6,0.0,0.0,6.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,6.0,0.0,1,3,0.0,0.0,3.0,3.0,0.0,1.0
adyenautomationbot,train,Bot,0.152,0.932,3.942,0.006,15.632,0.0,0.917,0.36,0.0,2.53,0.14,0.937,3.84,0.004,16.483,0.102,0.942,2.762,0.005,12.722,255,24.0,0.352,23.182,22.0,15.052,18.0,0.547,42.5,21.0,58.749,1.0,0.303,1.555,1.0,1.579,1,6,3.5,0.269,4.0,4.0,2.098,0.091
kebot,train,Human,154.572,0.425,130.484,109.292,103.783,0.0,0.666,6.493,0.0,23.399,84.353,0.66,73.985,42.097,104.338,165.835,0.626,82.511,44.726,100.982,21,0.0,0.424,1.909,1.0,2.7,4.0,0.484,3.5,1.5,3.728,0.0,0.315,1.615,1.0,1.325,11,6,0.0,0.23,1.364,1.0,0.924,1.0
devexpressexamplebot,train,Bot,0.016,0.977,2.019,0.004,14.62,0.001,0.914,0.007,0.0,0.045,0.012,0.835,0.036,0.005,0.102,0.007,0.985,1.132,0.001,10.957,300,3.0,0.37,3.0,2.0,2.156,84.0,0.687,75.0,15.5,129.19,1.0,0.316,1.786,1.0,1.286,1,4,1.0,0.159,1.27,1.0,0.468,0.01
codebytere,train,Human,4.87,0.755,5.326,0.276,9.279,0.508,0.875,8.695,0.002,32.104,1.299,0.88,3.675,0.041,12.127,1.189,0.876,4.095,0.052,12.14,212,12.75,0.679,17.667,5.5,32.365,20.75,0.572,17.667,9.0,21.631,4.0,0.498,3.419,2.0,3.74,4,12,1.25,0.374,3.25,2.0,2.667,0.333
dpebot,train,Bot,0.611,0.662,0.505,0.203,0.756,0.002,0.735,0.029,0.0,0.111,0.678,0.602,0.648,0.337,0.823,0.273,0.762,0.311,0.06,0.622,300,4.5,0.585,5.455,3.0,10.658,88.0,0.293,150.0,150.0,124.451,1.0,0.355,1.714,1.0,2.189,4,2,0.0,0.0,1.0,1.0,0.0,0.073
dd32,train,Human,0.992,0.679,0.984,0.496,1.77,0.0,0.349,0.168,0.0,0.498,0.758,0.425,0.983,0.899,0.816,0.993,0.633,0.952,0.499,1.626,294,10.0,0.691,11.76,3.0,19.329,72.0,0.728,73.5,2.5,142.334,0.0,0.15,1.21,1.0,0.539,4,4,0.0,0.068,1.08,1.0,0.277,0.16
seratch,train,Human,3.863,0.845,8.631,0.493,24.237,0.012,0.882,0.389,0.0,1.976,0.876,0.904,5.107,0.082,19.4,0.786,0.909,4.49,0.069,17.599,200,11.0,0.642,9.091,3.0,12.972,13.0,0.529,13.333,10.0,13.983,1.0,0.361,2.0,1.0,1.676,5,15,2.0,0.471,3.136,2.0,3.121,0.227
michalbundyra,train,Human,0.484,0.929,30.267,0.033,110.393,0.001,0.875,0.256,0.0,1.495,0.18,0.948,21.731,0.025,93.805,0.111,0.953,19.726,0.023,89.524,66,7.25,0.39,8.25,7.0,6.274,9.25,0.472,5.5,2.5,5.126,1.0,0.291,1.535,1.0,1.437,5,12,2.0,0.31,3.875,3.0,2.416,0.625
ipfs-mgmt-read-write[bot],train,Bot,1.732,0.01,84.027,84.027,2.449,588.044,0.136,616.021,671.976,590.037,167.985,0.58,69.742,0.001,79.97,167.952,0.642,59.298,0.015,77.005,35,16.5,0.471,17.5,17.5,23.335,10.0,0.381,11.667,13.0,10.066,11.5,0.438,11.667,10.0,11.59,1,3,1.0,0.25,2.0,2.0,1.414,0.5
ndrwrbgs,train,Human,113.444,0.701,86.615,18.558,130.076,0.0,0.461,0.005,0.0,0.018,35.442,0.797,35.168,0.036,68.586,99.381,0.76,69.296,0.448,120.916,21,0.0,0.241,1.4,1.0,0.91,2.25,0.375,2.625,2.0,2.066,0.0,0.174,1.235,1.0,0.752,12,8,0.0,0.241,1.4,1.0,0.91,0.8
angular-robot[bot],train,Bot,,0.0,,,0.0,0.0,0.0,527.951,527.951,0.0,,0.0,,,0.0,53.966,0.557,65.994,24.018,85.821,9,0.0,0.0,9.0,9.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,9.0,9.0,0.0,1,1,0.0,0.0,1.0,1.0,0.0,1.0
core23,train,Human,81.415,0.73,70.613,5.192,114.419,0.72,0.739,23.161,0.0,70.748,60.046,0.789,49.825,0.099,98.498,2.933,0.859,32.537,0.087,83.319,68,6.5,0.58,9.714,6.0,13.744,4.75,0.574,6.8,4.0,9.92,3.25,0.464,2.833,1.0,2.792,6,10,0.0,0.122,2.0,2.0,0.577,0.857
peril-bolt[bot],train,Bot,,0.0,,,0.0,0.0,0.0,1655.59,1655.59,0.0,,0.0,,,0.0,178.478,0.241,275.932,255.529,130.083,7,0.0,0.0,7.0,7.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,7.0,7.0,0.0,1,1,0.0,0.0,1.0,1.0,0.0,1.0
staltz,train,Human,247.163,0.782,281.402,0.74,554.468,1.762,0.732,21.418,0.001,58.538,13.289,0.915,92.863,0.173,317.298,5.282,0.929,76.47,0.172,288.646,29,1.75,0.615,4.833,1.5,7.96,3.0,0.513,3.625,1.5,4.274,2.0,0.556,3.625,1.5,5.476,5,8,1.5,0.361,2.0,1.0,1.673,0.833
alan-agius4,train,Human,0.444,0.908,3.711,0.063,12.494,0.055,0.926,2.756,0.0,16.667,0.391,0.938,2.706,0.018,12.452,0.251,0.938,2.834,0.02,12.503,164,16.5,0.601,23.429,9.0,34.336,15.0,0.451,12.615,11.0,10.603,1.25,0.415,2.278,1.0,2.138,6,13,3.5,0.365,4.143,4.0,2.968,0.857
daffl,train,Human,29.413,0.771,46.94,3.386,83.832,0.0,0.655,0.112,0.0,0.413,9.751,0.859,28.707,0.099,70.312,1.178,0.89,20.36,0.054,59.551,105,2.75,0.579,4.773,2.0,6.436,11.0,0.464,9.545,5.0,8.71,0.0,0.494,2.283,1.0,3.404,13,11,1.0,0.393,2.045,1.0,1.864,0.591
riknoll,train,Human,17.524,0.86,23.061,1.25,78.912,0.873,0.81,6.294,0.097,16.488,0.555,0.937,6.549,0.079,40.252,0.59,0.932,6.561,0.079,38.565,257,4.0,0.743,19.769,3.0,41.849,24.75,0.493,18.357,13.5,16.919,5.0,0.492,4.431,3.0,4.573,3,14,4.0,0.402,4.538,3.0,3.573,0.231
micronaut-build,train,Bot,0.107,0.898,1.337,0.054,4.357,0.0,0.918,0.018,0.0,0.259,0.028,0.929,0.157,0.002,0.827,0.101,0.901,1.265,0.054,4.225,287,3.0,0.353,3.727,3.0,2.442,127.0,0.59,95.667,13.0,145.789,0.0,0.062,1.071,1.0,0.257,1,3,0.0,0.178,1.26,1.0,0.637,0.013
tarantoolbot,train,Bot,46.675,0.56,39.133,14.391,48.656,2.508,0.738,28.875,0.0,100.044,46.675,0.56,39.133,14.391,48.656,44.626,0.609,33.917,14.391,43.244,60,8.0,0.133,30.0,30.0,11.314,8.0,0.133,30.0,30.0,11.314,1.0,0.408,2.0,1.0,2.181,1,2,0.0,0.0,1.0,1.0,0.0,0.5
dotnet-bot,train,Bot,0.214,0.736,0.2,0.048,0.383,0.045,0.722,0.067,0.0,0.235,0.128,0.757,0.161,0.036,0.354,0.118,0.78,0.14,0.021,0.325,296,12.75,0.479,13.455,9.5,14.299,80.5,0.514,49.333,29.5,52.045,1.0,0.344,1.91,1.0,1.763,3,6,1.0,0.188,2.545,2.0,0.912,0.136
alluxio-bot,train,Bot,,0.0,,,0.0,0.0,0.0,1245.789,1245.789,0.0,41.759,0.758,35.112,1.876,63.438,68.898,0.754,62.289,9.113,109.605,21,0.0,0.0,21.0,21.0,0.0,7.25,0.464,5.25,4.0,5.315,0.0,0.0,21.0,21.0,0.0,1,4,0.0,0.0,4.0,4.0,0.0,1.0
cardano-bot,train,Bot,3.338,0.485,2.847,2.242,2.739,17.167,0.654,19.094,0.569,41.399,1.921,0.507,1.915,1.32,2.013,2.781,0.347,4.32,3.903,3.123,300,123.5,0.549,100.0,51.0,130.587,146.0,0.487,150.0,150.0,206.475,4.0,0.605,5.085,2.0,7.576,2,2,0.5,0.167,1.333,1.0,0.577,0.667
openjdk[bot],train,Bot,0.008,0.85,0.079,0.0,0.289,0.0,0.743,0.038,0.0,0.181,0.086,0.852,0.151,0.008,0.402,0.014,0.839,0.081,0.0,0.259,205,6.0,0.47,8.913,9.0,12.713,60.25,0.511,51.25,37.0,56.565,0.0,0.276,1.444,1.0,1.302,1,4,2.0,0.284,1.826,1.0,1.072,0.043
brickbots,train,Human,117.393,0.447,75.353,78.461,73.519,292.179,0.501,333.62,269.137,454.486,1.108,0.908,17.876,0.059,59.826,1.23,0.907,21.178,0.095,69.359,94,45.0,0.638,31.333,2.0,51.675,6.0,0.532,9.4,5.0,12.204,19.0,0.574,18.8,11.0,23.879,1,10,4.0,0.444,4.0,2.0,4.359,0.333
maestro-local-dev[bot],train,Bot,1.411,0.898,32.666,0.142,94.615,10.748,0.84,21.118,0.003,50.243,0.199,0.958,8.9,0.009,44.094,0.173,0.96,8.463,0.009,43.035,245,28.75,0.31,40.833,46.5,25.039,66.25,0.33,61.25,68.5,44.056,5.0,0.53,6.282,2.0,7.497,1,4,1.5,0.148,3.0,3.0,0.894,0.167
